agent,environment,gamma,instance_number,episode_number,max_steps,performed_steps,return,discounted_return,time
Random,TestGrid,0.9,1,1,10,10,0.0,0.0,8.700000000017027e-05
Random,TestGrid,0.9,1,2,10,10,0.0,0.0,4.2999999999793204e-05
Random,TestGrid,0.9,1,3,10,10,0.0,0.0,4.099999999995774e-05
Random,TestGrid,0.9,1,4,10,10,0.0,0.0,4.300000000023729e-05
Random,TestGrid,0.9,1,5,10,10,0.0,0.0,4.2999999999793204e-05
Random,TestGrid,0.9,1,6,10,10,2.0,0.8657173890000002,0.0001020000000000465
Random,TestGrid,0.9,1,7,10,10,0.0,0.0,4.300000000023729e-05
Random,TestGrid,0.9,1,8,10,10,0.0,0.0,4.1999999999653426e-05
Random,TestGrid,0.9,1,9,10,10,0.0,0.0,4.400000000037707e-05
Random,TestGrid,0.9,1,10,10,10,0.0,0.0,4.1999999999653426e-05
