step,r,dr,cr,cdr
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,1.0,0.531441,1.0,0.531441
8,1.0,0.4782969000000001,2.0,1.0097379000000002
9,1.0,0.4304672100000001,3.0,1.4402051100000004
10,1.0,0.3874204890000001,4.0,1.8276255990000005
11,0.0,0.0,4.0,1.8276255990000005
12,0.0,0.0,4.0,1.8276255990000005
13,0.0,0.0,4.0,1.8276255990000005
14,0.0,0.0,4.0,1.8276255990000005
15,0.0,0.0,4.0,1.8276255990000005
16,0.0,0.0,4.0,1.8276255990000005
17,0.0,0.0,4.0,1.8276255990000005
18,0.0,0.0,4.0,1.8276255990000005
19,0.0,0.0,4.0,1.8276255990000005
20,0.0,0.0,4.0,1.8276255990000005
21,0.0,0.0,4.0,1.8276255990000005
22,0.0,0.0,4.0,1.8276255990000005
23,0.0,0.0,4.0,1.8276255990000005
24,0.0,0.0,4.0,1.8276255990000005
25,0.0,0.0,4.0,1.8276255990000005
26,0.0,0.0,4.0,1.8276255990000005
27,0.0,0.0,4.0,1.8276255990000005
28,0.0,0.0,4.0,1.8276255990000005
29,0.0,0.0,4.0,1.8276255990000005
30,0.0,0.0,4.0,1.8276255990000005
31,0.0,0.0,4.0,1.8276255990000005
32,0.0,0.0,4.0,1.8276255990000005
33,0.0,0.0,4.0,1.8276255990000005
34,0.0,0.0,4.0,1.8276255990000005
35,0.0,0.0,4.0,1.8276255990000005
36,0.0,0.0,4.0,1.8276255990000005
37,0.0,0.0,4.0,1.8276255990000005
38,0.0,0.0,4.0,1.8276255990000005
39,0.0,0.0,4.0,1.8276255990000005
40,0.0,0.0,4.0,1.8276255990000005
41,0.0,0.0,4.0,1.8276255990000005
42,0.0,0.0,4.0,1.8276255990000005
43,0.0,0.0,4.0,1.8276255990000005
44,0.0,0.0,4.0,1.8276255990000005
45,0.0,0.0,4.0,1.8276255990000005
46,0.0,0.0,4.0,1.8276255990000005
47,0.0,0.0,4.0,1.8276255990000005
48,0.0,0.0,4.0,1.8276255990000005
49,0.0,0.0,4.0,1.8276255990000005
50,0.0,0.0,4.0,1.8276255990000005
51,0.0,0.0,4.0,1.8276255990000005
52,0.0,0.0,4.0,1.8276255990000005
53,0.0,0.0,4.0,1.8276255990000005
54,0.0,0.0,4.0,1.8276255990000005
55,0.0,0.0,4.0,1.8276255990000005
56,0.0,0.0,4.0,1.8276255990000005
57,0.0,0.0,4.0,1.8276255990000005
58,0.0,0.0,4.0,1.8276255990000005
59,0.0,0.0,4.0,1.8276255990000005
60,0.0,0.0,4.0,1.8276255990000005
61,0.0,0.0,4.0,1.8276255990000005
62,0.0,0.0,4.0,1.8276255990000005
63,0.0,0.0,4.0,1.8276255990000005
64,0.0,0.0,4.0,1.8276255990000005
65,0.0,0.0,4.0,1.8276255990000005
66,0.0,0.0,4.0,1.8276255990000005
67,0.0,0.0,4.0,1.8276255990000005
68,0.0,0.0,4.0,1.8276255990000005
69,0.0,0.0,4.0,1.8276255990000005
70,0.0,0.0,4.0,1.8276255990000005
71,0.0,0.0,4.0,1.8276255990000005
72,0.0,0.0,4.0,1.8276255990000005
73,0.0,0.0,4.0,1.8276255990000005
74,0.0,0.0,4.0,1.8276255990000005
75,0.0,0.0,4.0,1.8276255990000005
76,0.0,0.0,4.0,1.8276255990000005
77,0.0,0.0,4.0,1.8276255990000005
78,0.0,0.0,4.0,1.8276255990000005
79,0.0,0.0,4.0,1.8276255990000005
80,0.0,0.0,4.0,1.8276255990000005
81,0.0,0.0,4.0,1.8276255990000005
82,0.0,0.0,4.0,1.8276255990000005
83,0.0,0.0,4.0,1.8276255990000005
84,0.0,0.0,4.0,1.8276255990000005
85,0.0,0.0,4.0,1.8276255990000005
86,0.0,0.0,4.0,1.8276255990000005
87,0.0,0.0,4.0,1.8276255990000005
88,0.0,0.0,4.0,1.8276255990000005
89,0.0,0.0,4.0,1.8276255990000005
90,0.0,0.0,4.0,1.8276255990000005
91,0.0,0.0,4.0,1.8276255990000005
92,0.0,0.0,4.0,1.8276255990000005
93,0.0,0.0,4.0,1.8276255990000005
94,0.0,0.0,4.0,1.8276255990000005
95,0.0,0.0,4.0,1.8276255990000005
96,0.0,0.0,4.0,1.8276255990000005
97,0.0,0.0,4.0,1.8276255990000005
98,0.0,0.0,4.0,1.8276255990000005
99,0.0,0.0,4.0,1.8276255990000005
100,0.0,0.0,4.0,1.8276255990000005
