agent,environment,gamma,instance_number,episode_number,max_steps,performed_steps,return,discounted_return,time
RMax_1,TestGrid,0.9,1,1,10,10,0.0,0.0,0.047142999999999935
RMax_1,TestGrid,0.9,1,2,10,10,1.0,0.4304672100000001,0.044342000000000104
RMax_1,TestGrid,0.9,1,3,10,10,0.0,0.0,0.031665000000000054
RMax_1,TestGrid,0.9,1,4,10,10,2.0,0.8178876990000001,0.03891599999999995
RMax_1,TestGrid,0.9,1,5,10,10,5.0,2.4181155990000005,0.011217000000000255
RMax_1,TestGrid,0.9,1,6,10,10,5.0,2.4181155990000005,0.00013700000000005375
RMax_1,TestGrid,0.9,1,7,10,10,4.0,1.8276255990000005,0.00013700000000005375
RMax_1,TestGrid,0.9,1,8,10,10,7.0,3.8032155990000005,0.0001289999999998237
RMax_1,TestGrid,0.9,1,9,10,10,7.0,3.8032155990000005,0.011578000000000088
RMax_1,TestGrid,0.9,1,10,10,10,7.0,3.8032155990000005,0.00019500000000016726
