step,r,dr,cr,cdr
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,1.0,0.531441,1.0,0.531441
28,1.0,0.4782969000000001,2.0,1.0097379000000002
29,1.0,0.4304672100000001,3.0,1.4402051100000004
30,1.0,0.3874204890000001,4.0,1.8276255990000005
31,0.0,0.0,4.0,1.8276255990000005
32,0.0,0.0,4.0,1.8276255990000005
33,0.0,0.0,4.0,1.8276255990000005
34,0.0,0.0,4.0,1.8276255990000005
35,0.0,0.0,4.0,1.8276255990000005
36,0.0,0.0,4.0,1.8276255990000005
37,0.0,0.0,4.0,1.8276255990000005
38,0.0,0.0,4.0,1.8276255990000005
39,0.0,0.0,4.0,1.8276255990000005
40,1.0,0.3874204890000001,5.0,2.2150460880000007
41,0.0,0.0,5.0,2.2150460880000007
42,0.0,0.0,5.0,2.2150460880000007
43,0.0,0.0,5.0,2.2150460880000007
44,1.0,0.7290000000000001,6.0,2.944046088000001
45,1.0,0.6561,7.0,3.6001460880000007
46,1.0,0.5904900000000001,8.0,4.190636088000001
47,1.0,0.531441,9.0,4.722077088000001
48,0.0,0.0,9.0,4.722077088000001
49,1.0,0.4304672100000001,10.0,5.1525442980000005
50,1.0,0.3874204890000001,11.0,5.539964787000001
51,0.0,0.0,11.0,5.539964787000001
52,0.0,0.0,11.0,5.539964787000001
53,0.0,0.0,11.0,5.539964787000001
54,1.0,0.7290000000000001,12.0,6.268964787000001
55,1.0,0.6561,13.0,6.925064787000001
56,1.0,0.5904900000000001,14.0,7.515554787000001
57,1.0,0.531441,15.0,8.046995787
58,1.0,0.4782969000000001,16.0,8.525292687
59,1.0,0.4304672100000001,17.0,8.955759897
60,1.0,0.3874204890000001,18.0,9.343180386
61,0.0,0.0,18.0,9.343180386
62,0.0,0.0,18.0,9.343180386
63,0.0,0.0,18.0,9.343180386
64,0.0,0.0,18.0,9.343180386
65,1.0,0.6561,19.0,9.999280386
66,1.0,0.5904900000000001,20.0,10.589770386000001
67,1.0,0.531441,21.0,11.121211386000002
68,1.0,0.4782969000000001,22.0,11.599508286000002
69,1.0,0.4304672100000001,23.0,12.029975496000002
70,1.0,0.3874204890000001,24.0,12.417395985000002
71,0.0,0.0,24.0,12.417395985000002
72,0.0,0.0,24.0,12.417395985000002
73,0.0,0.0,24.0,12.417395985000002
74,1.0,0.7290000000000001,25.0,13.146395985000002
75,1.0,0.6561,26.0,13.802495985000002
76,1.0,0.5904900000000001,27.0,14.392985985000003
77,1.0,0.531441,28.0,14.924426985000004
78,1.0,0.4782969000000001,29.0,15.402723885000004
79,1.0,0.4304672100000001,30.0,15.833191095000004
80,1.0,0.3874204890000001,31.0,16.220611584000004
81,0.0,0.0,31.0,16.220611584000004
82,0.0,0.0,31.0,16.220611584000004
83,0.0,0.0,31.0,16.220611584000004
84,1.0,0.7290000000000001,32.0,16.949611584000003
85,1.0,0.6561,33.0,17.605711584
86,1.0,0.5904900000000001,34.0,18.196201584
87,1.0,0.531441,35.0,18.727642584
88,1.0,0.4782969000000001,36.0,19.205939484
89,1.0,0.4304672100000001,37.0,19.636406694
90,1.0,0.3874204890000001,38.0,20.023827183
91,0.0,0.0,38.0,20.023827183
92,0.0,0.0,38.0,20.023827183
93,0.0,0.0,38.0,20.023827183
94,0.0,0.0,38.0,20.023827183
95,1.0,0.6561,39.0,20.679927183
96,1.0,0.5904900000000001,40.0,21.270417183
97,1.0,0.531441,41.0,21.801858183
98,1.0,0.4782969000000001,42.0,22.280155083
99,1.0,0.4304672100000001,43.0,22.710622293
100,1.0,0.3874204890000001,44.0,23.098042782
