agent,environment,gamma,instance_number,episode_number,max_steps,performed_steps,return,discounted_return,time
RMax_1,TestGrid,0.9,2,1,10,10,0.0,0.0,0.01912199999999986
RMax_1,TestGrid,0.9,2,2,10,10,0.0,0.0,0.04076499999999994
RMax_1,TestGrid,0.9,2,3,10,10,4.0,1.8276255990000005,0.05179799999999979
RMax_1,TestGrid,0.9,2,4,10,10,1.0,0.3874204890000001,0.020577999999999985
RMax_1,TestGrid,0.9,2,5,10,10,6.0,3.3249186990000004,0.022819000000000145
RMax_1,TestGrid,0.9,2,6,10,10,7.0,3.8032155990000005,0.00013799999999974943
RMax_1,TestGrid,0.9,2,7,10,10,6.0,3.0742155990000004,0.00022199999999994446
RMax_1,TestGrid,0.9,2,8,10,10,7.0,3.8032155990000005,0.00013299999999993872
RMax_1,TestGrid,0.9,2,9,10,10,7.0,3.8032155990000005,0.0001290000000002678
RMax_1,TestGrid,0.9,2,10,10,10,6.0,3.0742155990000004,0.00012999999999996348
