step,r,dr,cr,cdr
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,1.0,0.5904900000000001,1.0,0.5904900000000001
17,1.0,0.531441,2.0,1.121931
18,0.0,0.0,2.0,1.121931
19,1.0,0.4304672100000001,3.0,1.5523982100000002
20,1.0,0.3874204890000001,4.0,1.9398186990000004
21,0.0,0.0,4.0,1.9398186990000004
22,0.0,0.0,4.0,1.9398186990000004
23,0.0,0.0,4.0,1.9398186990000004
24,0.0,0.0,4.0,1.9398186990000004
25,0.0,0.0,4.0,1.9398186990000004
26,0.0,0.0,4.0,1.9398186990000004
27,0.0,0.0,4.0,1.9398186990000004
28,0.0,0.0,4.0,1.9398186990000004
29,0.0,0.0,4.0,1.9398186990000004
30,0.0,0.0,4.0,1.9398186990000004
31,0.0,0.0,4.0,1.9398186990000004
32,0.0,0.0,4.0,1.9398186990000004
33,0.0,0.0,4.0,1.9398186990000004
34,0.0,0.0,4.0,1.9398186990000004
35,0.0,0.0,4.0,1.9398186990000004
36,0.0,0.0,4.0,1.9398186990000004
37,0.0,0.0,4.0,1.9398186990000004
38,0.0,0.0,4.0,1.9398186990000004
39,0.0,0.0,4.0,1.9398186990000004
40,0.0,0.0,4.0,1.9398186990000004
41,0.0,0.0,4.0,1.9398186990000004
42,0.0,0.0,4.0,1.9398186990000004
43,0.0,0.0,4.0,1.9398186990000004
44,0.0,0.0,4.0,1.9398186990000004
45,1.0,0.6561,5.0,2.5959186990000003
46,1.0,0.5904900000000001,6.0,3.1864086990000002
47,1.0,0.531441,7.0,3.7178496990000003
48,1.0,0.4782969000000001,8.0,4.196146599
49,1.0,0.4304672100000001,9.0,4.626613809
50,1.0,0.3874204890000001,10.0,5.014034298
51,0.0,0.0,10.0,5.014034298
52,0.0,0.0,10.0,5.014034298
53,0.0,0.0,10.0,5.014034298
54,1.0,0.7290000000000001,11.0,5.743034298
55,1.0,0.6561,12.0,6.399134298000001
56,1.0,0.5904900000000001,13.0,6.989624298000001
57,1.0,0.531441,14.0,7.521065298000001
58,1.0,0.4782969000000001,15.0,7.999362198000001
59,1.0,0.4304672100000001,16.0,8.429829408000002
60,1.0,0.3874204890000001,17.0,8.817249897000002
61,0.0,0.0,17.0,8.817249897000002
62,0.0,0.0,17.0,8.817249897000002
63,0.0,0.0,17.0,8.817249897000002
64,1.0,0.7290000000000001,18.0,9.546249897000003
65,1.0,0.6561,19.0,10.202349897000003
66,1.0,0.5904900000000001,20.0,10.792839897000004
67,1.0,0.531441,21.0,11.324280897000005
68,1.0,0.4782969000000001,22.0,11.802577797000005
69,1.0,0.4304672100000001,23.0,12.233045007000005
70,1.0,0.3874204890000001,24.0,12.620465496000005
71,0.0,0.0,24.0,12.620465496000005
72,0.0,0.0,24.0,12.620465496000005
73,0.0,0.0,24.0,12.620465496000005
74,1.0,0.7290000000000001,25.0,13.349465496000004
75,1.0,0.6561,26.0,14.005565496000004
76,1.0,0.5904900000000001,27.0,14.596055496000005
77,1.0,0.531441,28.0,15.127496496000006
78,1.0,0.4782969000000001,29.0,15.605793396000006
79,1.0,0.4304672100000001,30.0,16.036260606000006
80,1.0,0.3874204890000001,31.0,16.423681095000006
81,0.0,0.0,31.0,16.423681095000006
82,0.0,0.0,31.0,16.423681095000006
83,0.0,0.0,31.0,16.423681095000006
84,1.0,0.7290000000000001,32.0,17.152681095000005
85,1.0,0.6561,33.0,17.808781095000004
86,1.0,0.5904900000000001,34.0,18.399271095000003
87,1.0,0.531441,35.0,18.930712095000004
88,1.0,0.4782969000000001,36.0,19.409008995000004
89,1.0,0.4304672100000001,37.0,19.839476205000004
90,1.0,0.3874204890000001,38.0,20.226896694000004
91,0.0,0.0,38.0,20.226896694000004
92,0.0,0.0,38.0,20.226896694000004
93,0.0,0.0,38.0,20.226896694000004
94,1.0,0.7290000000000001,39.0,20.955896694000003
95,1.0,0.6561,40.0,21.611996694000002
96,1.0,0.5904900000000001,41.0,22.202486694
97,1.0,0.531441,42.0,22.733927694000002
98,1.0,0.4782969000000001,43.0,23.212224594000002
99,1.0,0.4304672100000001,44.0,23.642691804000002
100,1.0,0.3874204890000001,45.0,24.030112293000002
